texto,categoria
hortifruti,Alimentação
dividi conta do bolacha,Alimentação
comprei notário,Outros
Paguei parafuso,Casa
"assinatura do amazon r$ 300,00",Assinaturas
pet shop para casamento,Outros
fui na protetor solar 139.50,Saúde
Lente de contato,Saúde
loja de roupa,Vestuário
"diversão R$110,40",Lazer
"feira do mes R$ 69,80",Alimentação
comprei hostel,Lazer
"Material de mensalidade da faculdade r$ 80,50",Educação
"hotel R$15,70",Lazer
paguei luz,Casa
"comprei wizard r$29,30",Educação
comprei faculdade,Educação
vestido na loja,Vestuário
conta de agua do mes,Casa
valet pra casa 25 reais,Transporte
"entretenimento R$ 39,10",Lazer
taxi de volta,Transporte
assinatura Kaspersky 600,Assinaturas
fui na limpeza dental,Saúde
"troca de óleo R$ 14,25",Transporte
bolsa na Renner,Vestuário
lanche da tarde,Alimentação
Celular para casamento 15.20,Outros
paguei a hospital,Saúde
Mensalidade reforço escolar 140.10,Educação
paguei cortina,Casa
estacionei 27.50,Transporte
LICENCIAMENTO DE VOLTA,Transporte
aula de ENEM 600,Educação
macacão na Renner,Vestuário
paguei consultorio veterinario,Outros
comprei taxa bancária 180,Outros
Corrida de aluguel de carro,Transporte
pet,Outros
"Paguei a laboratório 27,20",Saúde
fim de semana,Lazer
CAFÉ DA MANHÃ R$8,Alimentação
"viagem para interior 35,25",Lazer
Ingresso do parque de diversões 25,Lazer
"comprei ENEM R$ 65,30",Educação
Comprei vitamina r$ 500,Saúde
"plano Telecine R$ 20,10",Assinaturas
COMPREI CALÇA JEANS NA C&A R$ 2000,Vestuário
exame no laboratório,Saúde
telhado,Casa
Saída,Lazer
"compras do mês r$ 1200,00",Alimentação
paguei a fisioterapeuta,Saúde
Paguei presente,Outros
"UNIDAS DE VOLTA R$ 22,80",Transporte
MATERIAL DE MESTRADO,Educação
comprei cueca,Vestuário
Almocei no supermercado,Alimentação
"Corrida de yellow r$ 129,60",Transporte
gasto com anuidade 12.80,Outros
"assinatura do banda larga R$ 99,40",Assinaturas
peguei BRT,Transporte
Plano anual netflix 120.25,Assinaturas
assinei webinar,Educação
abasteci,Transporte
assinatura do NordVPN,Assinaturas
campo com amigos 85.75,Lazer
"remedio da exame de sangue 30,00",Saúde
"mensalidade Nintendo Online 900,00",Assinaturas
"hospedagem 500,00",Lazer
Pet para formatura,Outros
C&A na Riachuelo R$250,Vestuário
Abasteci o carro 10 reais,Transporte
roupas na shopping,Vestuário
"compras do mês R$ 15,00",Alimentação
cobrou HBO Max,Assinaturas
comprei ccaa,Educação
"comprei parque de diversões 1500,00",Lazer
remedio da loçao 37.75,Saúde
anuidade plano móvel R$ 50,Assinaturas
"saída R$ 700,00",Lazer
karaokê 14.75,Lazer
OBRA,Casa
comprei academia,Saúde
dividi conta do boteco,Alimentação
diversão,Lazer
Zoológico,Lazer
pilates,Saúde
assinei Wizard,Educação
"boleto de gas de cozinha R$ 80,75",Casa
comprei Under Armour na outlet 15,Vestuário
remédio da consulta,Saúde
"comprei museu 24,60",Lazer
comprei fone de ouvido,Outros
paguei inglês,Educação
renovei NordVPN,Assinaturas
"roupas R$22,30",Vestuário
"estacionei R$ 29,30",Transporte
paguei cabo R$500,Outros
"exame no laboratório r$ 14,99",Saúde
Manutenção imprevisto 90.90,Outros
MENSALIDADE DISNEY PLUS,Assinaturas
CORRIDA 49.80,Transporte
bilhete pra casa,Transporte
renovação Deezer,Assinaturas
IPVA imprevisto,Outros
comprei oferta,Outros
"Comprei crossfit r$25,25",Saúde
"conserto do presente de aniversário R$47,70",Outros
"exame no laboratório R$ 95,90",Saúde
"cobrou plano de celular 119,80",Assinaturas
"LOJA DE ROUPA 29,30",Vestuário
Disney+ com amigos,Lazer
gym,Saúde
"mensalidade da psicólogo R$ 300,00",Saúde
saída,Lazer
"corrida de pneu R$ 89,60",Transporte
Compras de roupa 5.10,Vestuário
gasto com celular 200,Outros
fui na médico,Saúde
gasto com empréstimo,Outros
"shorts 150,00",Vestuário
patinete de volta,Transporte
ENERGIA 59.20,Casa
loja de roupa,Vestuário
"delivery cerveja R$14,70",Alimentação
"bilhete da semana R$ 3000,00",Transporte
Plano anual box mensal,Assinaturas
comprei pochete,Vestuário
"reforma 75,30",Casa
"abasteci R$ 40,50",Transporte
passagem de volta 70.10,Transporte
Diversão,Lazer
comprei turismo,Lazer
"material de alemao R$5,80",Educação
"sofá do mês R$ 800,00",Casa
"matrícula r$ 80,70",Educação
"plano mensal antivírus 49,90",Assinaturas
manutenção da energia 55.50,Casa
mercado 5.25,Alimentação
aula de colegio 45.80,Educação
Paguei a farmácia r$250,Saúde
coturnos nova,Vestuário
"Cobrou headspace r$ 129,90",Assinaturas
"Paguei remédio pet 85,90",Outros
roupas R$ 20,Vestuário
cobrou box mensal 500,Assinaturas
reforma,Casa
sandália,Vestuário
"COMPRAS DE ROUPA R$55,50",Vestuário
comprei IR,Outros
gasto com multa R$600,Outros
COMPREI HONORÁRIO,Outros
"Ingresso pro jogo de tabuleiro r$ 49,10",Lazer
"Fisk 49,40",Educação
Rancho 80.99,Alimentação
BORRACHEIRO PRA CASA 79.25,Transporte
roupa de trabalho,Vestuário
paguei processo,Outros
banho e tosa para chá de bebê,Outros
renovei antivirus 2000,Assinaturas
paguei esgoto,Casa
cabo imprevisto 14.40,Outros
comprei jaqueta na c&a,Vestuário
roupa de dormir nova 3000 reais,Vestuário
"BOLETO DE SABÃO 75,99",Casa
"Veterinário imprevisto 90,70",Outros
"festa com amigos 45,00",Lazer
manutenção da fogão 25,Casa
quadrinhos 400 reais,Lazer
comprei e-book,Lazer
LANCHE DA TARDE,Alimentação
"limpeza para a casa R$119,10",Casa
mercado,Alimentação
DIVERSÃO,Lazer
